,QuestionText_nchars,VerfiedBuyersWithLanguage,NonEmployeeAnswersWithinWeek
41659,115,138,1
41660,71,21,0
41661,32,4,0
41662,28,22,0
41663,63,11,0
41664,27,0,0
41665,39,0,0
41666,86,278,1
41667,248,120,2
41668,102,1836,2
41669,34,70,0
41670,73,63,1
41671,63,21,0
41672,60,113,1
41673,184,44,0
41674,196,974,1
41675,111,0,0
41676,79,6,0
41677,45,1,0
41678,234,119,1
41679,53,16,1
41680,151,14,0
41681,47,3,0
41682,147,5,1
41683,76,0,0
41684,42,3274,1
41685,88,2,0
41686,121,79,2
41687,38,12,1
41688,79,6839,2
41689,97,56,1
41690,84,130,0
41691,78,79,1
41692,61,1,0
41693,208,25,0
41694,47,0,0
41695,116,2,0
41696,124,382,2
41697,27,263,1
41698,43,1,0
41699,95,102,2
41700,121,1123,0
41701,107,118,1
41702,62,1276,0
41703,53,35,1
41704,86,304,0
41705,144,11,1
41706,33,0,0
41707,113,29,1
41708,68,167,3
41709,200,0,0
41710,64,3,0
41711,136,995,1
41712,191,9,2
41713,64,11,1
41714,124,95,0
41715,84,148,1
41716,54,2,0
41717,61,19,1
41718,75,1234,1
41719,134,453,0
41720,63,185,1
41721,37,24,1
41722,39,3,1
41723,134,1742,2
41724,121,13,0
41725,225,208,1
41726,115,36,1
41727,62,698,0
41728,42,57,0
41729,147,18,0
41730,76,6,1
41731,74,1464,0
41732,66,0,0
41733,33,1137,2
41734,63,1171,2
41735,50,2,0
41736,73,157,0
41737,18,15,0
41738,33,0,0
41739,108,0,0
41740,33,0,0
41741,121,2,6
41742,80,2,0
41743,112,1,0
41744,189,177,1
41745,192,1,0
41746,75,95,1
41747,34,1,0
41748,275,366,0
41749,103,31,0
41750,99,7,1
41751,61,1,0
41752,84,1342,2
41753,54,0,0
41754,108,169,1
41755,81,7529,1
41756,115,2360,4
41757,58,24,1
41758,49,0,0
41759,111,599,1
41760,243,129,1
41761,157,681,2
41762,121,4,1
41763,194,26,1
41764,444,6,2
41765,87,44,1
41766,74,0,0
41767,64,0,0
41768,201,493,1
41769,28,12,0
41770,54,70,1
41771,197,1572,3
41772,81,1,0
41773,32,12,1
41774,155,96,1
41775,50,25,1
41776,30,260,1
41777,84,5,0
41778,67,5,1
41779,42,1951,1
41780,277,14,0
41781,95,17,0
41782,94,5623,1
41784,129,5623,1
41785,60,191,2
41786,177,796,1
41787,28,0,0
41788,79,1,0
41789,36,170,0
41790,78,614,0
41791,30,866,0
41792,200,16,2
41793,37,4,0
41794,60,1229,1
41795,56,61,1
41796,35,16,0
41797,178,25,1
41798,79,2667,0
41799,37,1,0
41800,38,2,0
41801,90,259,1
41802,75,25,1
41803,59,265,0
41804,185,574,3
41805,124,1079,1
41806,171,426,1
41807,197,47,2
41808,42,2,0
41809,195,161,0
41810,57,6,0
41811,46,3,0
41812,126,1,0
41813,94,32,0
41814,285,90,0
41815,110,40,0
41816,113,1,1
41817,98,0,0
41818,35,45,1
41819,23,45,2
41820,69,2,0
41821,94,824,2
41822,54,12,1
41823,109,5,1
41824,105,574,1
41825,87,205,1
41826,59,69,2
41827,91,15,0
41828,60,490,1
41829,51,70,1
41830,302,323,0
41831,141,3,0
41832,174,61,2
41833,44,4,0
41834,60,20,1
41835,130,611,1
41836,61,0,0
41837,65,31,0
41838,133,0,0
41839,115,123,1
41840,28,292,1
41841,101,7,1
41842,56,770,1
41843,184,27,2
41844,37,27,1
41845,42,1,0
41846,128,7,0
41847,45,1,0
41848,28,1,1
41849,108,297,0
41850,31,58,0
41851,184,38,1
41852,46,42,0
41853,146,37,1
41854,55,68,1
41855,114,52,0
41856,63,120,1
41857,70,593,2
41858,126,997,4
41859,194,1,0
41860,39,1,0
41861,57,9,1
41862,96,0,0
41863,59,29,0
41864,55,9,1
41865,73,2,0
41866,135,2173,1
41867,78,9510,2
41868,85,14,2
41869,30,27,1
41870,64,14,1
41871,87,16,0
41872,242,29,0
41873,107,129,2
41874,64,5,0
41875,114,6,1
41876,104,7,0
41877,136,9,0
41878,100,158,1
41879,46,26,1
41880,75,42,1
41881,115,141,0
41882,155,1,0
41883,126,19,1
41884,28,6,0
41885,90,59,0
41886,118,83,0
41887,24,0,0
41888,401,110,0
41889,100,175,0
41890,59,0,0
41891,31,15,1
41892,45,0,0
41893,116,30,0
41894,49,22,1
41895,125,6,0
41896,36,133,1
41897,67,2,2
41898,57,5,0
41899,78,42,3
41900,68,9,0
41901,51,0,0
41902,168,80,2
41903,40,13,1
41904,170,56,1
41905,79,63,3
41906,34,26,0
41907,207,0,0
41908,170,36,1
41909,200,210,1
41910,67,196,1
41911,109,1,1
41912,99,4608,0
41913,50,123,0
41914,30,3,0
41915,59,0,0
41916,65,931,1
41917,160,1344,1
41918,127,899,1
41919,141,261,1
41920,99,919,1
41921,50,6,0
41922,25,1,0
41923,72,62,2
41924,203,87,0
41925,198,124,0
41926,107,1968,2
41927,61,0,0
41928,56,668,0
41929,61,0,0
41930,61,2,0
41931,175,13,0
41932,175,20,0
41933,68,0,0
41934,68,2,1
41935,35,29,1
41936,48,109,0
41937,153,61,1
41938,198,11,0
41939,107,7,0
41940,176,165,2
41941,354,258,1
41942,92,1,0
41943,188,71,0
41944,57,30,2
41945,47,62,0
41946,470,1,0
41947,176,1,0
41948,76,1198,1
41949,86,0,0
41950,101,19,1
41951,92,1,0
41952,42,1,0
41953,199,1,0
41954,31,0,0
41955,134,3,0
41956,99,0,0
41957,191,5,0
41959,95,27,2
41960,84,485,0
41961,52,62,1
41962,98,84,0
41963,55,15,0
41964,131,35,0
41965,128,0,0
41966,161,21,0
41967,64,179,1
41969,40,64,1
41970,52,54,0
41971,70,453,0
41972,73,229,1
41973,76,100,0
41974,103,2,0
41975,46,3,0
41976,83,5,0
41977,304,87,1
41978,172,137,1
41979,77,343,0
41980,121,171,1
41981,126,1,0
41982,193,104,2
41983,189,9,0
41984,18,11,1
41985,14,22,1
41986,118,0,0
41987,63,949,1
41988,46,1,1
41989,44,83,1
41990,34,68,1
41991,87,5,1
41992,23,30,0
41993,164,107,2
41994,50,5,1
41995,174,664,1
41996,53,0,0
41997,32,25,1
41998,195,713,1
41999,44,143,3
42000,108,2,0
42001,147,9,2
42002,177,43,1
42003,169,0,0
42004,41,62,0
42005,90,112,1
42006,151,634,1
42007,56,31,1
42008,186,497,2
42009,128,0,0
42010,37,1,0
42011,24,0,0
42012,53,1,0
42013,90,104,0
42014,77,231,1
42015,43,24,0
42016,52,0,0
42017,49,1,0
42018,121,201,3
42019,113,0,0
42020,134,9,0
42021,86,24,0
42022,178,568,2
42023,111,1,0
42024,181,1065,1
42025,84,9,0
42026,51,9,0
42028,127,226,1
42029,122,2,1
42030,95,28,1
42031,172,80,0
42032,69,56,0
42033,69,180,1
42034,74,16,0
42036,29,548,1
42037,106,5,0
42038,91,0,0
42039,72,5,0
42040,193,16,0
42041,7,0,0
42042,137,16,0
42043,94,9,1
42044,24,357,1
42045,337,6,1
42046,37,71,2
42047,181,13,0
42048,51,2,0
42049,191,7161,1
42050,231,43,0
42051,146,0,0
42052,33,692,1
42053,135,32,1
42054,30,1,0
42055,30,0,0
42056,30,1,0
42057,113,27,2
42058,125,0,0
42059,25,6,0
42060,98,48,0
42061,71,89,1
42062,46,2,1
42063,46,30,0
42064,52,10,0
42065,81,0,0
42066,67,1056,1
42067,74,452,2
42068,48,2,0
42069,144,48,0
42070,75,1,0
42072,96,2,0
42073,34,0,0
42074,72,69,2
42075,82,13,0
42076,62,77,2
42077,223,17,1
42078,74,40,0
42079,143,1,0
42080,101,18,0
42081,109,86,4
42082,102,61,1
42083,56,12,0
42084,69,19,0
42085,207,34,3
42086,48,7,0
42087,59,8,0
42088,98,38,0
42089,116,164,2
42090,76,2,0
42091,199,3808,0
42092,41,2,0
42093,59,148,2
42094,86,64,1
42095,59,383,1
42096,91,110,2
42097,36,0,0
42098,112,1,0
42099,39,5,0
42100,51,49,0
42101,105,3359,1
42102,195,12,0
42103,45,80,1
42104,109,3,1
42105,132,0,0
42106,37,8,0
42107,31,1096,1
42108,183,17,0
42109,28,877,1
42110,190,3,1
42111,106,37,0
42112,403,3346,2
42113,94,228,1
42114,66,623,1
42115,56,6,0
42116,24,9,0
42117,30,3,0
42118,59,7,1
42119,42,1,0
42120,166,171,0
42121,120,91,1
42122,146,67,2
42123,193,0,0
42124,121,67,1
42125,37,18,0
42126,55,550,2
42127,41,12,0
42129,105,22,0
42130,189,1311,2
42131,150,3,0
42132,164,212,0
42133,91,39,1
42134,169,1053,2
42135,78,25,0
42136,86,2,0
42137,93,2,1
42138,102,6,0
42139,102,2,0
42140,85,839,1
42141,67,1093,1
42142,140,205,1
42143,242,269,1
42144,30,25,0
42145,73,0,0
42146,194,1647,3
42147,51,0,0
42148,108,26,1
42149,192,0,1
42150,52,0,0
42151,73,8,1
42152,21,1,0
42153,29,4,1
42154,30,0,0
42155,28,7,0
42156,73,4,0
42157,161,6,0
42158,120,17803,2
42159,70,42,1
42160,138,37,1
42161,51,2,0
42162,75,1328,1
42163,59,136,0
42164,69,65,0
42165,112,3,0
42166,99,402,0
42167,56,7,1
42168,143,2,1
42169,31,2,0
42170,84,0,0
42171,92,2669,1
42172,83,2,0
42173,225,124,3
42174,45,1,0
42175,108,103,3
42176,196,0,0
42177,67,38,0
42178,88,45,1
42179,32,0,0
42180,33,7,0
42181,140,8,0
42182,202,118,3
42183,199,181,1
42184,259,53,1
42185,61,37,1
42186,32,0,0
42187,39,19,0
42188,56,512,1
42189,44,48,1
42190,36,149,1
42191,172,7,0
42192,44,3,0
42193,65,197,0
42194,40,0,0
42195,33,53,1
42196,105,1370,1
42197,675,124,0
42198,295,35,0
42199,67,2,0
42200,73,2,0
42201,31,10,0
42202,143,2909,1
42203,143,4450,1
42204,60,0,0
42205,71,75,0
42206,198,0,0
42207,48,0,0
42208,45,27,0
42209,53,7,1
42210,37,0,0
42211,64,4,0
42212,48,768,1
42213,48,1208,1
42214,283,1582,1
42215,131,0,0
42216,106,26,0
42217,33,10,1
42218,57,67,0
42219,132,22,0
42220,162,1662,0
42221,33,1,0
42222,76,5,1
42223,185,35,0
42224,104,0,0
42225,139,105,1
42226,228,0,0
42227,166,334,2
42228,139,21,0
42229,67,87,0
42230,48,9,1
42231,58,409,1
42232,183,1905,1
42233,68,14,0
42234,166,0,0
42235,49,4553,2
42236,49,274,2
42237,123,139,2
42238,79,2057,1
42239,90,61,0
42240,147,74,0
42241,83,272,1
42242,115,8,0
42243,199,254,1
42244,33,168,1
42245,36,116,1
42246,81,186,1
42247,100,12,0
42248,83,51,1
42249,244,260,4
42250,144,422,2
42251,118,585,0
42252,102,0,0
42253,130,262,1
42254,157,5,0
42255,11,67,0
42256,54,297,2
42257,35,143,2
42258,53,122,2
42259,145,4,0
42260,138,18,0
42261,82,19,0
42262,60,1,0
42263,165,50,0
42264,265,10,0
42265,145,93,1
42266,25,0,0
42267,146,253,2
42268,199,141,1
42269,170,11,0
42270,409,47,1
42271,183,115,1
42272,94,26,1
42273,78,14,1
42274,200,91,3
42275,43,18,0
42276,163,127,0
42277,25,550,1
42278,196,60,1
42279,70,1,0
42280,58,4,1
42281,80,117,0
42282,94,10,0
42283,55,31,1
42284,31,15,0
42285,69,69,0
42286,47,5,0
42287,144,0,0
42289,191,3476,1
42290,33,1867,1
42291,44,386,1
42292,61,143,0
42293,92,23,1
42294,180,0,0
42295,64,11,0
42296,140,690,1
42297,62,690,1
42298,140,124,2
42299,140,16,1
42300,200,933,3
42301,93,1,0
42302,63,510,1
42303,143,264,1
42304,46,1,0
42305,159,330,1
42306,45,14,1
42307,61,2,0
42308,224,8,3
42309,77,3,0
42310,49,1,0
42311,124,9,1
42312,59,70,1
42313,82,274,1
42314,95,399,1
42315,161,29,1
42316,52,1,0
42317,167,63,1
42318,185,691,2
42319,49,584,1
42320,92,4,1
42321,124,1473,1
42322,71,23,1
42323,57,89,1
42324,93,80,0
42325,45,277,0
42326,76,257,0
42327,67,947,2
42328,52,111,1
42329,62,0,0
42330,190,25,1
42331,89,14,0
42332,63,12,0
42333,113,185,1
42334,153,143,3
42335,39,59,1
42336,123,205,0
42337,209,121,1
42338,44,172,2
42339,126,66,1
42340,157,66,1
42341,173,54,0
42342,41,13,1
42343,106,999,0
42344,45,82,1
42345,99,199,1
42346,125,5,0
42347,138,46,0
42348,38,30,0
42349,50,1,0
42350,42,938,0
42351,37,301,2
42352,98,13,0
42353,92,105,1
42354,183,790,1
42355,185,11,1
42356,40,9,0
42357,126,271,0
42358,131,143,1
42359,26,0,0
42360,55,308,1
42361,214,221,2
42362,97,32,0
42363,312,473,1
42364,180,180,0
42365,53,77,1
42366,140,83,2
42367,185,600,2
42368,170,35,1
42369,189,284,1
42370,30,2,1
42371,44,0,0
42372,65,0,0
42373,26,156,2
42374,41,0,0
42375,71,5,0
42376,140,4,0
42377,58,1,0
42378,60,48,1
42379,119,62,0
42380,43,0,0
42381,105,13,1
42382,88,159,1
42383,88,18,0
42384,111,8,0
42385,80,646,0
42386,32,0,0
42387,146,129,1
42388,32,8,0
42389,238,175,1
42390,104,254,1
42391,64,994,1
42392,40,8,0
42393,124,26,2
42394,162,0,0
42395,115,13,0
42396,92,15,1
42397,226,1249,2
42398,35,20,0
42399,41,38,1
42400,110,5,0
42401,140,1,0
42402,76,465,1
42403,84,6,0
42404,86,4,0
42405,45,247,1
42406,44,50,1
42407,95,1,0
42408,95,0,0
42409,92,1034,0
42410,143,373,2
42411,68,13,1
42412,191,44,0
42413,53,106,0
42414,365,66,2
42416,91,10,1
42417,65,1,0
42418,42,1,0
42419,192,59,1
42420,110,31,0
42421,164,103,1
42422,39,1,0
42423,87,35,1
42424,158,2,0
42425,67,0,0
42426,96,85,1
42427,201,944,1
42428,55,11,1
42429,56,14,0
42430,55,2,0
42431,90,54,1
42432,46,0,0
42433,182,26,0
42434,39,0,0
42435,51,883,1
42436,35,1096,1
42437,200,12,1
42438,79,15,1
42439,284,126,1
42441,85,0,0
42442,24,0,0
42443,57,5,0
42444,65,264,0
42445,61,131,2
42446,39,9,1
42447,37,5,1
42448,82,94,0
42449,107,0,0
42450,200,836,1
42451,33,1,0
42452,56,54,2
42453,70,5,1
42454,76,23,0
42455,134,12,0
42456,37,5203,0
42457,40,27,0
42458,92,66,1
42459,117,0,0
42460,201,1,0
42461,56,1,0
42462,60,0,0
42463,63,12,1
42464,88,11,0
42465,260,786,1
42466,157,6,0
42467,105,9,0
42468,162,4,0
42469,55,61,0
42470,45,511,1
42471,191,25,1
42472,90,10,0
42473,46,5212,1
42474,68,0,0
42475,134,26,1
42476,35,9,1
42477,32,0,0
42478,42,60,1
42479,37,7,0
42480,143,1,0
42481,79,16,1
42482,63,16,0
42483,31,717,0
42484,186,407,1
42485,108,432,1
42486,104,183,1
42487,156,23,0
42488,178,0,0
42489,93,291,3
42490,107,769,1
42491,193,53,3
42492,106,10,1
42493,79,245,1
42494,22,0,0
42495,70,99,1
42496,68,27,1
42497,80,65,0
42498,173,21,0
42499,58,162,0
42500,58,198,0
42501,101,230,1
42502,29,43,0
42503,91,8,0
42504,59,0,0
42505,83,0,0
42506,86,2,0
42507,88,7,1
42508,37,142,2
42509,49,557,1
42510,56,0,0
42511,221,87,0
42512,47,22,1
42513,124,38,1
42514,199,0,0
42515,185,105,1
42516,172,0,0
42517,50,3,2
42518,193,419,2
42519,197,2034,1
42520,139,224,1
42521,28,97,0
42522,130,595,1
42523,179,200,0
42524,96,0,0
42525,104,50,1
42526,176,1985,2
42527,44,1690,1
42528,160,248,1
42529,192,3,1
42530,134,11,0
42531,134,4,0
42532,99,452,1
42533,85,2231,1
42534,90,284,1
42535,81,0,0
42536,117,1814,0
42537,255,166,1
42538,113,91,0
42539,111,1342,1
42540,35,32,0
42541,108,2080,1
42542,198,4,1
42543,18,115,1
42544,126,530,1
42545,52,1,0
42546,38,0,0
42547,34,14,0
42548,92,40,0
42549,134,0,0
42550,145,2,0
42551,147,1529,3
42552,35,6,0
42553,88,118,1
42554,199,0,1
42555,178,548,2
42556,175,12,1
42557,77,423,1
42558,87,61,2
42559,149,115,1
42560,73,5,0
42561,94,49,1
42562,107,0,0
42563,80,268,0
42564,85,114,0
42565,174,220,1
42566,36,1,0
42567,64,3,0
42568,60,240,1
42569,196,3770,2
42570,58,177,0
42571,34,7,2
42572,125,2481,0
42573,125,589,2
42575,92,2231,1
42576,57,9,0
42577,67,0,0
42578,173,331,1
42579,72,2,0
42580,74,5,0
42581,196,110,0
42582,193,0,0
42583,157,53,0
42584,59,1,0
42585,72,4,0
42586,58,96,0
42587,61,34,1
42588,96,217,0
42589,68,0,0
42590,153,167,1
42591,187,28,0
42592,301,6,0
42593,133,143,0
42594,56,34,1
42595,40,1,0
42596,174,3,0
42597,119,301,1
42598,174,459,1
42599,51,28,1
42600,58,7,0
42601,118,15,0
42602,67,583,1
42603,106,22,1
42604,43,1553,0
42605,162,18,0
42606,478,0,1
42607,63,3,1
42608,43,2074,1
42609,125,324,1
42610,45,261,1
42611,50,204,1
42612,113,1786,1
42613,66,0,1
42614,59,2,0
42615,235,8369,1
42616,69,273,1
42617,90,0,0
42618,111,4,1
42619,28,180,2
42620,158,2,1
42621,53,0,0
42622,91,42,1
42623,101,910,2
42624,114,42,1
42625,81,101,0
42626,63,1,0
42627,64,324,1
42628,85,3334,2
42629,113,26,1
42630,74,22,0
42631,82,6,0
42632,85,19,1
42633,111,33,0
42634,37,0,0
42635,53,1,0
42636,32,1989,2
42637,137,536,0
42638,130,2463,1
42639,163,265,0
42640,75,51,1
42641,215,1916,0
42642,66,154,2
42643,81,2463,1
42644,87,36,1
42645,50,954,0
42646,35,367,2
42647,204,11,0
42648,152,0,0
42649,44,5584,1
42650,47,8,0
42651,79,30,1
42652,127,24,0
42654,29,43,1
42655,61,32,1
42656,33,566,3
42657,14,46,1
42658,46,98,1
42659,137,28,0
42660,58,87,1
42661,62,28,0
42662,70,217,0
42663,123,53,0
42664,156,8198,1
42665,73,133,2
42666,91,106,0
42667,161,97,1
42668,33,7,0
42669,91,24,1
42670,92,96,0
42671,198,461,1
42672,65,1,0
42673,132,12,0
42674,192,125,1
42675,188,265,2
42676,64,3,0
42677,39,60,2
42678,119,33,0
42679,42,7,2
42680,154,86,1
42681,51,234,2
42682,169,15,0
42683,140,5588,2
42684,94,40,0
42685,137,16,1
42686,175,24,0
42687,166,981,1
42688,173,81,1
42689,60,2,0
42690,59,18,1
42691,37,1,0
42692,148,2,0
42693,92,207,1
42694,61,125,1
42695,78,0,0
42696,60,125,0
42697,143,134,1
42698,51,52,0
42699,91,78,1
42700,91,6,0
42701,144,574,2
42702,320,9,0
42703,120,150,0
42704,87,1,0
42705,46,15,1
42706,23,6,1
42707,44,42,1
42708,26,13,1
42709,71,67,2
42710,49,107,1
42711,45,0,1
42712,113,227,2
42713,93,1107,1
42714,36,173,2
42715,52,110,1
42716,55,6913,2
42717,59,0,0
42718,173,2,0
42719,110,0,0
42720,32,1,0
42721,199,34,0
42722,48,87,1
42723,51,63,1
42724,67,36,0
42725,92,162,1
42726,53,1,0
42727,40,0,0
42728,102,4203,1
42729,48,948,1
42730,95,30,1
42731,82,8,0
42732,41,27,2
42733,42,0,0
42734,342,4645,2
42735,62,131,1
42736,164,128,0
42737,49,28,0
42738,25,593,1
42739,71,873,2
42740,113,4,1
42741,48,302,2
42742,96,0,0
42743,73,5909,1
42744,49,5,0
42745,88,634,1
42746,89,191,0
42747,129,0,0
42748,155,1,0
42749,202,36,0
42750,221,1,0
42751,73,287,1
42752,187,64,0
42753,117,9,1
42754,101,190,1
42755,41,51,1
42756,49,1643,1
42757,30,197,2
42758,292,437,1
42759,66,0,0
42760,75,1554,0
42761,101,71,0
42762,183,0,0
42763,202,168,1
42764,130,1336,1
42765,54,130,0
42766,91,0,0
42767,44,26,2
42768,66,8,0
42769,49,2,1
42770,77,346,1
42771,37,2,0
42772,30,8,0
42773,133,126,0
42774,73,48,2
42775,83,33,0
42776,333,348,1
42777,47,3,0
42778,108,35,1
42779,48,16,0
42780,75,88,1
42781,76,328,3
42782,24,12,0
42783,117,39,0
42784,56,67,2
42785,50,67,1
42786,116,33,1
42787,50,10,0
42788,50,26,0
42789,173,1393,2
42790,26,524,1
42791,133,96,1
42792,126,114,3
42793,30,7,0
42794,82,9,0
42795,91,1385,2
42796,132,0,3
42797,221,35,0
42798,245,66,0
42799,166,1772,2
42800,64,23,1
42801,80,0,0
42802,113,13,2
42803,118,1384,0
42804,176,1454,2
42805,127,44,0
42806,61,9,0
42807,67,20,2
42808,90,3,1
42809,57,1,0
42810,92,2394,2
42811,120,10,0
42812,38,49,0
42813,163,73,1
42814,34,1,0
42815,101,4,0
42816,59,39,0
42817,122,34,0
42818,201,72,0
42819,125,206,1
42820,122,116,1
42821,249,0,0
42822,168,1718,1
42823,163,99,1
42824,106,30,0
42825,168,30,0
42826,35,0,0
42827,48,23,0
42828,50,0,0
42829,148,40,0
42830,181,33,0
42831,52,41,2
42832,81,4,0
42833,33,22,0
42834,100,10,0
42835,136,1693,3
42836,73,147,2
42837,64,514,2
42838,25,42,1
42839,435,623,2
42840,262,97,2
42841,96,290,2
42843,156,1313,0
42844,114,107,1
42845,194,2,1
42846,62,38,2
42847,121,183,1
42848,75,2,0
42849,136,0,0
42850,42,365,0
42851,104,25382,3
42852,111,414,2
42853,118,1452,2
42854,114,12,0
42855,211,1102,1
42856,363,2043,0
42857,85,15,1
42858,48,69,1
42859,105,15,1
42860,147,4,1
42861,30,3,0
42862,187,108,0
42863,68,2,1
42864,48,34,0
42865,81,196,1
42866,7,0,0
42867,35,3,0
42868,80,21,1
42869,103,15,1
42870,187,0,0
42871,189,29,1
42872,60,78,1
42873,191,19,1
42874,48,205,3
42875,161,123,1
42876,150,5,0
42877,44,1,0
42878,43,187,1
42879,102,603,0
42880,167,800,1
42881,97,3714,1
42882,57,113,1
42883,29,61,2
42884,52,143,1
42885,52,0,0
42886,102,105,1
42887,112,3,1
42888,87,26,1
42889,80,1062,1
42890,110,224,1
42891,146,8,0
42892,45,1117,1
42893,132,22,0
42894,194,851,1
42895,105,7,0
42896,222,206,1
42897,45,0,0
42898,52,16,0
42899,48,0,0
42900,174,43,1
42901,143,35,1
42902,200,5,0
42903,145,1,0
42904,27,103,3
42905,32,127,1
42906,83,23,0
42907,193,173,1
42908,122,11,0
42909,137,0,0
42910,93,45,0
42911,53,37,1
42912,106,249,1
42913,89,81,0
42914,77,1,0
42915,47,20,0
42916,36,39,2
42917,51,260,3
42918,159,0,1
42919,24,24,0
42920,107,132,1
42921,103,5,0
42922,170,0,1
42923,83,0,0
42924,54,883,1
42925,67,1395,0
42926,39,18,2
42927,54,221,1
42928,81,7,0
42929,200,261,2
42930,129,136,1
42931,75,8,0
42932,110,1049,0
42933,72,189,1
42934,191,83,1
42935,24,1,1
42936,125,62,2
42937,31,4,0
42938,33,0,0
42939,83,44,0
42940,83,169,0
42941,94,2,1
42942,14,0,0
42943,57,363,0
42944,83,7,1
42945,208,73,2
42946,79,6,0
42947,200,1,0
42948,69,37,0
42949,184,53,1
42950,119,490,1
42951,40,4,0
42952,33,2,0
42953,28,0,1
42954,84,231,3
42955,93,2060,1
42956,65,3,0
42957,74,12,0
42958,51,1,0
42959,200,107,4
42960,62,1137,2
42961,49,2,0
42962,110,1,1
42963,144,10,1
42964,81,22,0
42965,112,2187,2
42966,139,35,0
42967,122,19,1
42968,199,1394,2
42969,51,148,1
42970,68,13,1
42971,151,37,2
42972,243,551,1
42973,37,81,1
42974,200,26,0
42975,204,48,1
42976,32,0,0
42977,99,35,0
42978,192,5,0
42979,160,2880,1
42980,76,82,0
42981,107,5,0
42982,125,6,0
42983,288,331,0
42984,84,21,0
42985,115,1,0
42986,40,3,0
42987,94,62,0
42988,62,1,0
42989,64,2187,2
42990,34,40,1
42991,111,337,0
42992,98,21,0
42993,76,0,0
42994,190,1,0
42995,38,16,0
42996,111,337,0
42997,170,301,1
42998,23,5,0
42999,52,177,0
43000,33,1,0
43001,57,37,1
43002,83,36,0
43003,120,0,0
43004,142,0,1
43005,100,69,0
43006,96,7,0
43007,43,74,0
43008,102,7,0
43009,34,38,1
43010,14,17,2
43011,104,11,1
43012,59,9,0
43013,25,0,0
43014,82,43,1
43015,166,274,0
43016,48,15,0
43017,43,246,1
43018,81,1,0
43019,38,0,0
43020,30,62,1
43021,46,5,2
43022,159,73,1
43023,90,2,0
43024,52,2,0
43025,56,99,0
43026,54,118,1
43027,95,48,0
43028,7,20,0
43029,177,227,1
43030,191,2027,4
43031,59,37,1
43032,74,204,2
43033,7,0,0
43034,165,3,0
43035,113,210,1
43036,39,1,0
43037,198,23,1
43038,55,69,1
43039,132,320,2
43040,160,4,1
43041,92,50,0
43042,47,30,0
43043,7,38,0
43044,77,160,2
43045,138,1,1
43046,55,26,0
43047,130,92,1
43048,94,943,0
43049,92,360,2
43050,35,19,1
43051,86,540,1
43052,86,92,2
43053,126,7,0
43054,16,7,0
43055,99,228,2
43056,50,11,0
43057,141,6,0
43058,169,79,1
43059,158,2,0
43060,191,51,1
43061,207,46,3
43062,187,1297,1
43063,66,16,1
43064,68,996,2
43065,41,0,0
43066,53,0,0
43067,89,0,0
43068,72,446,1
43069,201,192,1
43070,96,253,1
43071,131,201,1
43072,47,18,1
43073,82,51,2
43074,65,0,0
43075,66,5,0
43076,371,936,2
43077,52,72,1
43078,53,1,0
43079,183,335,3
43080,97,195,1
43081,95,51,1
43082,117,16,0
43083,150,8,0
43084,62,0,0
43085,143,7,0
43086,40,801,1
43087,130,511,0
43088,57,249,1
43089,47,10,0
43090,42,1,0
43091,63,462,1
43092,59,6,1
43093,160,0,0
43094,29,25,1
43095,187,387,1
43096,68,6,0
43097,62,47,0
43098,176,292,1
43099,198,4160,2
43100,317,417,1
43101,166,0,0
43102,140,70,0
43103,159,225,0
43104,53,200,1
43105,219,15,0
43106,45,607,1
43107,48,53,2
43108,44,7,0
43109,53,3456,1
43110,65,41,1
43111,68,0,0
43112,188,24,1
43113,59,41,0
43114,64,0,0
43115,159,308,1
43116,66,6,0
43117,59,1,0
43118,28,441,0
43119,154,0,0
43120,299,153,1
43121,30,4,0
43122,56,11,1
43123,39,16,0
43124,43,607,1
43125,60,27,1
43126,137,7,0
43127,40,0,0
43128,66,332,1
43129,176,435,1
43130,55,0,0
43131,118,386,0
43132,132,633,1
43133,64,5,0
43134,85,26,0
43135,73,0,0
43136,88,163,0
43137,74,11,0
43138,178,228,1
43139,26,4,0
43141,99,1317,1
43142,141,0,0
43143,170,0,0
43144,34,0,0
43145,74,20,0
43146,325,1089,1
43147,202,30,1
43148,96,1283,1
43149,40,1,0
43150,52,480,1
43151,235,261,0
43152,133,44,0
43153,44,31,1
43154,20,50,0
43155,42,1000,1
43156,102,655,1
43157,166,3,0
43158,209,338,1
43159,86,89,1
43160,274,178,1
43161,83,2,1
43162,21,5,1
43163,89,0,0
43164,136,42,2
43165,101,38,0
43166,39,2,0
43167,151,28,0
43168,51,37,1
43169,54,2378,1
43170,93,571,2
43171,75,24,2
43172,101,54,0
43174,52,20,0
43175,71,4,0
43176,197,257,2
43177,133,217,2
43178,199,37,1
43179,201,133,0
43180,31,10,0
43181,31,14,0
43182,200,21,0
43183,138,197,1
43184,89,0,0
43185,84,0,0
43186,160,163,0
43187,67,13,0
43188,71,74,1
43189,88,195,1
43190,47,0,1
43191,257,103,1
43192,192,46,0
43193,51,1831,1
43194,56,54,0
43195,87,5,0
43196,120,1,0
43197,36,11,0
43198,72,9,0
43199,116,19,1
43200,91,0,0
43201,80,5,1
43202,115,4,0
43203,78,4,0
43204,53,60,1
43205,70,12,0
43206,103,820,1
43207,51,74,1
43208,83,19,0
43209,94,1381,1
